module,type,name,res_id,src,value
base,model,"ir.module.module,description",base.module_stock_calendar,"
        The stock_calendar module handles minimum stock rules (=orderpoints / reordering rules) differently by
        the possibility to take into account the purchase and delivery calendars.

        Normally, the scheduler will go through all orderpoints and will create a procurement with a quantity taking
        into account the current stock and all future stock moves.  For companies working with fresh products, this is
        a problem, because if you order the products needed over 2 weeks now and they arrive tomorrow, then
        these products won't be fresh anymore in two weeks.

        To solve this, we added a delivery calendar to the orderpoint.  The future stock moves (they represent the needs)
        taken into account will be limited to those until the second delivery according to the calendar.
        So if I am delivered every week on Tuesday and on Friday, when I order on Monday, I will be delivered on Tuesday
        with all what is needed until Friday.

        This however is not good enough as you want to create a purchase order only before the date of the delivery as the
        future needs might change.  (otherwise you could have ordered too much already)  For this, we added a
        purchase calendar and the orderpoint will only be triggered when the scheduler is run within the time specified
        by the purchase calendar.  (a last execution date will also check if it has not already been triggered within this time)

        However, sometimes we have double orders: suppose we need to order twice on Friday: a purchase order for Monday
        and a purchase order for Tuesday.  Then we need to have two orders at the same time.
        To handle this, we put a procurement group on the calendar line and for the purchase calendar line we need to do,
        we will check the corresponding delivery line.  On the procurement group, we can tell to propagate itself to the purchase
        and this way it is possible to have an order for Monday and one for Tuesday.

        With normal orderpoints, the dates put on the purchase order are based on the delays in the system for the product/company.
        This does not correspond to what is done with the calendars, so the purchase/delivery dates will be set according to the calendars also.

        The calendars we use are on weekly basis.  It is possible however to have a start date and end date for e.g. the Tuesday delivery.
        It is also possible to put exceptions for days when there is none.
    ","
El módulo «stock_calendar» gestiona reglas de stock mínimo (=niveles de reposición/órdenes de reordenado) de forma diferente por la posibilidad de tener en cuenta los calendarios de compra y entregas.

Normalmente, el calendario recorrerá todos los niveles de reposición y creará una solicitud de compra para una cantidad, teniendo en cuenta las existencias actuales y todos los movimientos de existencia futuros. Para compañías que trabajen con productos frescos esto es un problema, dado que, si se solicitan ahora los productos a consumir durante las próximas dos semanas y estos llegan mañana, entonces ya no serán frescos dentro de dos semanas.

Para solucionarlo, hemos añadido un calendario de entregas al nivel de reposición. Los futuros movimientos de inventario (que representan las necesidades) a tener en cuenta se limitarán a aquellos hasta la segunda entrega de acuerdo con el calendario.
De este modo, si los pedidos se reciben todos los martes y viernes, al hacer un pedido el lunes se recibirá el martes todo lo necesario hasta el viernes.

Por otra parte esto no es suficientemente bueno ya que se necesita crear una orden de compra antes de la fecha de entrega, dado que las necesidades futuras pueden cambiar (de otro modo, actualmente podrían estar pedidas demasiadas existencias). Para ello hemos añadido un calendario de compras, y la orden de compra solo se activará cuando el planificador se active dentro del tiempo especificado por el calendario de compra (una fecha de última ejecución comprobará además que no haya sido activada en este intervalo).

Sin embargo, a veces se tienen órdenes duplicadas: suponga que necesita pedir el doble de cantidad un viernes: un pedido de compra para el lunes y otro para el martes. En ese caso necesita tener dos pedidos a la vez. Para tratar esta situación, se coloca un grupo de aprovisionamiento en la línea de calendario y, para la línea de calendario de compra que necesita gestionar, se verifica la fecha de entrega. Para el grupo de reposición, puede especificar que se propague a la compra y, de este modo, es posible tener un pedido de compra para el lunes y otro para el martes.

Con niveles de reposición normales las fechas fijadas en las órdenes de compra se basan en los retrasos del sistema para el producto o compañía. Esto no se corresponde con lo efectuado en los calendarios, así que las fechas de compra/entrega se corregirán ademaś con lo que se haya fijado en los calendarios.

La base de los calendarios es semanal, aunque es posible fijar una fecha de inicio y de fin para, por ejemplo, la entrega del martes. También es posible fijar excepciones para los días en que no hay entregas."
base,model,"ir.module.module,description",base.module_hr_equipment,"
        Track employees' equipment and manage maintenance requests.","
Supervisa el equipamiento de los empleados y gestiona peticiones de mantenimiento."
base,model,"ir.module.module,description",base.module_l10n_multilang,"
    * Multi language support for Chart of Accounts, Taxes, Tax Codes, Journals,
      Accounting Templates, Analytic Chart of Accounts and Analytic Journals.
    * Setup wizard changes
        - Copy translations for COA, Tax, Tax Code and Fiscal Position from
          templates to target objects.
    ","
    * Soporte multiidioma para los planes de cuentas, impuestos, códigos de impuesto, diarios, plantillas de contabilidad, planes de cuentas analíticos y diarios analíticos.
* Cambios en el asistente de configuración
        - Copiar traducciones para el plan de cuentas, los impuestos, los códigos de impuesto, las posiciones fiscales de las plantillas a los objetos.
    "
base,model,"ir.module.module,description",base.module_account_tax_cash_basis,"
    Add an option on tax to allow them to be cash based, meaning that during reconciliation, if there is a tax with
    cash basis involved, a new journal entry will be create containing those taxes value.
    ","
    Add an option on tax to allow them to be cash based, meaning that during reconciliation, if there is a tax with
    cash basis involved, a new journal entry will be create containing those taxes value.
    "
base,model,"ir.module.module,description",base.module_test_documentation_examples,"
    Contains pieces of code to be used as technical documentation examples
    (via the ``literalinclude`` directive) in situations where they can be
    syntax-checked and tested.
    ","
    Contiene trozos de código a ser usados como ejemplos de documentación técnica 
    (via la directiva ``literalinclude``) en situaciones donde pueden ser validada la sintaxis
    y testeada.
    "
base,model,"ir.module.module,description",base.module_website_sale_stock,"
    Display delivery orders (picking) infos on the website
","
    Display delivery orders (picking) infos on the website
"
base,model,"ir.module.module,description",base.module_report_intrastat,"
A module that adds intrastat reports.
=====================================

This module gives the details of the goods traded between the countries of
European Union.","
Un módulo que añade informes intrastat.
=====================================

Este módulo ofrece detalles de los bienes comerciados entre países de la Unión Europea."
base,model,"ir.module.module,description",base.module_account_accountant,"
Accounting Access Rights
========================
It gives the Administrator user access to all accounting features such as journal items and the chart of accounts.

It assigns manager and user access rights to the Administrator for the accounting application and only user rights to the Demo user.
","
Permisos de acceso de contabilidad
=================================
Da al usuario administrador acceso a todas las características de contabilidad, como entradas de diario y el plan contable.

Asigna permisos de gestor y usuario para la aplicación de contabilidad al administrador, y permisos de usuario al usuario de demostración.
"
base,model,"ir.module.module,description",base.module_l10n_be_hr_payroll_account,"
Accounting Data for Belgian Payroll Rules.
==========================================
    ","
Datos de contabilidad para las reglas de nóminas belgas.
==============================================
    "
base,model,"ir.module.module,description",base.module_website_mass_mailing,"
Add a snippet in the website builder to subscribe a mass_mailing list
    ","
Add a snippet in the website builder to subscribe a mass_mailing list
    "
base,model,"ir.module.module,description",base.module_sale_order_dates,"
Add additional date information to the sales order.
===================================================

You can add the following additional dates to a sales order:
------------------------------------------------------------
    * Requested Date (will be used as the expected date on pickings)
    * Commitment Date
    * Effective Date
","
Añade información de fechas para los pedidos de ventas
======================================================

Puede añadir las siguientes fechas a los pedidos de ventas
----------------------------------------------------------
    * Fecha de solicitud (se utilizará como la fecha prevista en albaranes)
    * Fecha de recogida
    * Fecha efectiva
"
base,model,"ir.module.module,description",base.module_hr_contract,"
Add all information on the employee form to manage contracts.
=============================================================

    * Contract
    * Place of Birth,
    * Medical Examination Date
    * Company Vehicle

You can assign several contracts per employee.
    ","
Añade toda la información en el formulario de empleado para gestionar contratos.
====================================================================

    * Contrato
    * Lugar de nacimiento
    * Fecha del examen médico
    * Vehículo de empresa

Puede asignar varios contratos por empleado.
    "
base,model,"ir.module.module,description",base.module_product_email_template,"
Add email templates to products to be sent on invoice confirmation
==================================================================

With this module, link your products to a template to send complete information and tools to your customer.
For instance when invoicing a training, the training agenda and materials will automatically be sent to your customers.'
    ","
Añade plantillas de correo electrónico a los productos a ser enviados en la confirmación de la factura
======================================================================

Con este módulo, puede enlazar sus productos a plantillas para enviar a sus clientes información detallada o herramientas.
Por ejemplo, al facturar una formación la agenda de la formación y los materiales pueden ser enviados automáticamente a su cliente."
base,model,"ir.module.module,description",base.module_website_project_issue_sheet,"
Add timesheet support on issue in the frontend.
==================================================================================================
    ","
Add timesheet support on issue in the frontend.
==================================================================================================
    "
base,model,"ir.module.module,description",base.module_website_portal_sale,"
Add your sales document in the frontend portal. Your customers will be able to connect to their portal to see the list (and the state) of their invoices (pdf report), sales orders and quotations (web pages).
        ","
Add your sales document in the frontend portal. Your customers will be able to connect to their portal to see the list (and the state) of their invoices (pdf report), sales orders and quotations (web pages).
        "
base,model,"ir.module.module,description",base.module_product_margin,"
Adds a reporting menu in products that computes sales, purchases, margins and other interesting indicators based on invoices.
=============================================================================================================================

The wizard to launch the report has several options to help you get the data you need.
","
Añade un menú de informes en los productos de calcula las ventas, compras, márgenes y otros indicadores interesantes basados en las facturas.
================================================================================================================

El asistente para lanzar el informe tiene varias opciones que ayudan a obtener los datos necesarios.
"
base,model,"ir.module.module,description",base.module_pad,"
Adds enhanced support for (Ether)Pad attachments in the web client.
===================================================================

Lets the company customize which Pad installation should be used to link to new
pads (by default, http://etherpad.com/).
    ","
Añade soporte extendido para adjuntos (Ether)Pad en el cliente web.
===================================================================

Permite a la compañía personalizar que instalación de Pad debe usarse para enlazar con nuevos pads (por defecto, http://etherpad.com/).
    "
base,model,"ir.module.module,description",base.module_pos_mercury,"
Allow credit card POS payments
==============================

This module allows customers to pay for their orders with credit
cards. The transactions are processed by Mercury (developed by Wells
Fargo Bank). A Mercury merchant account is necessary. It allows the
following:

* Fast payment by just swiping a credit card while on the payment screen
* Combining of cash payments and credit card payments
* Cashback
* Supported cards: Visa, MasterCard, American Express, Discover
    ","
Allow credit card POS payments
==============================

This module allows customers to pay for their orders with credit
cards. The transactions are processed by Mercury (developed by Wells
Fargo Bank). A Mercury merchant account is necessary. It allows the
following:

* Fast payment by just swiping a credit card while on the payment screen
* Combining of cash payments and credit card payments
* Cashback
* Supported cards: Visa, MasterCard, American Express, Discover
    "
base,model,"ir.module.module,description",base.module_auth_oauth,"
Allow users to login through OAuth2 Provider.
=============================================
","
Permite a los usuarios iniciar sesión a través de un proveedor OAuth2.
==========================================================
"
base,model,"ir.module.module,description",base.module_auth_signup,"
Allow users to sign up and reset their password
===============================================
    ","
Permite a los usuarios registrarse y restablecer su contraseña
===============================================
    "
base,model,"ir.module.module,description",base.module_account_cancel,"
Allows canceling accounting entries.
====================================

This module adds 'Allow Canceling Entries' field on form view of account journal.
If set to true it allows user to cancel entries & invoices.
    ","
Permite cancelar asientos contables.
===============================

Este módulo añade el campo 'Permitir cancelar asientos' en la vista de formulario de los diarios contables.
Si está establecido a True, permitirá cancelar asientos y facturas.
    "
base,model,"ir.module.module,description",base.module_sale_timesheet,"
Allows to sell timesheets in your sales order
=============================================

This module set the right product on all timesheet lines
according to the order/contract you work on. This allows to
have real delivered quantities in sales orders.
","
Permite vender partes de horas en sus pedidos de venta
=====================================================

Este módulo establece el producto adecuado en los partes de horas, de acuerdo con el pedido/contrato en el que está trabajando. Esto permite detallar las cantidad realmente trabajadas en los pedidos de venta.
"
base,model,"ir.module.module,description",base.module_delivery,"
Allows you to add delivery methods in sale orders and picking.
==============================================================

You can define your own carrier for prices. When creating
invoices from picking, the system is able to add and compute the shipping line.
","
Allows you to add delivery methods in sale orders and picking.
==============================================================

You can define your own carrier for prices. When creating
invoices from picking, the system is able to add and compute the shipping line.
"
base,model,"ir.module.module,description",base.module_website_portal,"
Allows your customers to manage their account from a beautiful web interface.
        ","
Permite que sus clientes gestionen su cuenta desde un interfaz web."
base,model,"ir.module.module,description",base.module_l10n_ar,"
Argentinian accounting chart and tax localization.
==================================================

Plan contable argentino e impuestos de acuerdo a disposiciones vigentes

    ","
Plan de cuentas y localización de impuesto argentino.
==================================================

Plan contable argentino e impuestos de acuerdo a disposiciones vigentes.

    "
base,model,"ir.module.module,description",base.module_website_forum,"
Ask questions, get answers, no distractions
        ","
Realice preguntas, obtenga respuestas, sin distracciones
        "
base,model,"ir.module.module,description",base.module_account_test,"
Asserts on accounting.
======================
With this module you can manually check consistencies and inconsistencies of accounting module from menu Reporting/Accounting/Accounting Tests.

You can write a query in order to create Consistency Test and you will get the result of the test 
in PDF format which can be accessed by Menu Reporting -> Accounting Tests, then select the test 
and print the report from Print button in header area.
","
Aseveraciones en contabilidad.
==========================
Con este módulo se pueden comprobar manualmente consistencias e inconsistencias del módulo de contabilidad desde el menú Informes / Contabilidad /Tests contables.

Puede escribir una consulta para crear un test de consistencia y se obtendrá el test en formato PDF, que puede ser accedido desde el menú Informes / Contabilidad / Tests contables, seleccionando el test e imprimiendo el informe desde el botón de impresión en el área de cabecera.
"
base,model,"ir.module.module,description",base.module_account_asset,"
Assets management
=================
Manage assets owned by a company or a person.
Keeps track of depreciations, and creates corresponding journal entries.

    ","
Gestión de activos
=================
Gestione activos propiedad de una compañía o persona.
Lleva la cuenta de la depreciación, y crea las entradas de diario correspondientes."
base,model,"ir.module.module,description",base.module_document,"
Attachments list and document indexation
========================================
* Show attachment on the top of the forms
* Document Indexation: odt
","
Lista de adjuntos e indexación de documentos
===========================================
* Muestra adjuntos sobre los formularios
* Indexación de documentos: odt
"
base,model,"ir.module.module,description",base.module_l10n_au,"
Australian Accounting Module
============================

Australian accounting basic charts and localizations.

Also:
    - activates a number of regional currencies.
    - sets up Australian taxes.
    ","
Australian Accounting Module
============================

Australian accounting basic charts and localizations.

Also:
    - activates a number of regional currencies.
    - sets up Australian taxes.
    "
base,model,"ir.module.module,description",base.module_base_gengo,"
Automated Translations through Gengo API
========================================

This module will install passive scheduler job for automated translations 
using the Gengo API. To activate it, you must
1) Configure your Gengo authentication parameters under `Settings > Companies > Gengo Parameters`
2) Launch the wizard under `Settings > Application Terms > Gengo: Manual Request of Translation` and follow the wizard.

This wizard will activate the CRON job and the Scheduler and will start the automatic translation via Gengo Services for all the terms where you requested it.
    ","
Traducciones automáticas a través de la API Gengo
========================================

Este módulo instala una tarea del planificador pasiva para traducciones automáticas utilizando la API Gengo. Para activarla, debe
1) Configurar los parámetros de autentificación de Gengo en  'Configuración > Compañías > Parámetros Gengo'
2) Ejecutar el asistente en 'Configuración > Términos de la aplicación > Gengo: Petición manual de traducción' y seguir el asistente.

Este asistente activará una tarea CRON y el planificador iniciará la traducción automática vía los servicios de Gengo para todos los términos que solicite.
    "
base,model,"ir.module.module,description",base.module_sale_service,"
Automatically creates project tasks from procurement lines.
===========================================================

This module will automatically create a new task for each procurement order line
(e.g. for sale order lines), if the corresponding product meets the following
characteristics:

    * Product Type = Service
    * Create Task Automatically = True

If on top of that a project is specified on the product form (in the Procurement
tab), then the new task will be created in that specific project. Otherwise, the
new task will not belong to any project, and may be added to a project manually
later.

When the project task is completed or cancelled, the corresponding procurement
is updated accordingly. For example, if this procurement corresponds to a sale
order line, the sale order line will be considered delivered when the task is
completed.
","
Automatically creates project tasks from procurement lines.
===========================================================

This module will automatically create a new task for each procurement order line
(e.g. for sale order lines), if the corresponding product meets the following
characteristics:

    * Product Type = Service
    * Create Task Automatically = True

If on top of that a project is specified on the product form (in the Procurement
tab), then the new task will be created in that specific project. Otherwise, the
new task will not belong to any project, and may be added to a project manually
later.

When the project task is completed or cancelled, the corresponding procurement
is updated accordingly. For example, if this procurement corresponds to a sale
order line, the sale order line will be considered delivered when the task is
completed.
"
base,model,"ir.module.module,description",base.module_hw_scanner,"
Barcode Scanner Hardware Driver
================================

This module allows the web client to access a remotely installed barcode
scanner, and is used by the posbox to provide barcode scanner support to the
point of sale module. 

","
Controlador para el lector de código de barras
====================================

Este módulo permite al cliente web tener acceso remotamente al lector del código de barras. y es usado a través del PosBox para proveer al TPV de soporte para el lector de código de barras. 

"
base,model,"ir.module.module,description",base.module_l10n_et,"
Base Module for Ethiopian Localization
======================================

This is the latest Ethiopian OpenERP localization and consists of:
    - Chart of Accounts
    - VAT tax structure
    - Withholding tax structure
    - Regional State listings
    ","
Módulo base para la localización etíope.
======================================

Ésta es la última localización de OpenERP para Etiopía y consiste en:
    - Plan de cuentas
    - Estructura de impuestos
    - Estructura de retenciones
    - Listado de regiones
    "
base,model,"ir.module.module,description",base.module_l10n_br,"
Base module for the Brazilian localization
==========================================

This module consists in:

 - Generic Brazilian chart of accounts
 - Brazilian taxes such as:

        - IPI
        - ICMS
        - PIS
        - COFINS
        - ISS
        - IR
        - IRPJ
        - CSLL

The field tax_discount has also been added in the account.tax.template and 
account.tax objects to allow the proper computation of some Brazilian VATs 
such as ICMS. The chart of account creation wizard has been extended to 
propagate those new data properly.

It's important to note however that this module lack many implementations to 
use OpenERP properly in Brazil. Those implementations (such as the electronic 
fiscal Invoicing which is already operational) are brought by more than 15 
additional modules of the Brazilian Launchpad localization project 
https://launchpad.net/openerp.pt-br-localiz and their dependencies in the 
extra addons branch. Those modules aim at not breaking with the remarkable 
OpenERP modularity, this is why they are numerous but small. One of the 
reasons for maintaining those modules apart is that Brazilian Localization 
leaders need commit rights agility to complete the localization as companies 
fund the remaining legal requirements (such as soon fiscal ledgers, 
accounting SPED, fiscal SPED and PAF ECF that are still missing as September 
2011). Those modules are also strictly licensed under AGPL V3 and today don't 
come with any additional paid permission for online use of 'private modules'.
","
Módulo base para la localización brasileña
==========================================

Este módulo consiste en:

 - Plan de cuentas general brasiñeño
 - Impuestos brasileños tales como:

        - IPI
        - ICMS
        - PIS
        - COFINS
        - ISS
        - IR
        - IRPJ
        - CSLL

Se ha añadido también un campo tax_discount en los objetos account.tax.template y account.tax objects para permitir el cálculo correcto de algunos IVAs brasileños, tales como el ICMS. Se ha extendido el asistente de creación del plan de cuentas para propagar estos nuevos datos convenientemente.

Es importante destacar sin embargo que a este módulo le falta algunas implementaciones para usar OpenERP adecuadamente en Brasil. Estas implementaciones (como la factura electrónica fiscal que ya es operativa), se consiguen con más de 15 módulos adicionales en el proyecto de localización brasileña de Launchpad en https://launchpad.net/openerp.pt-br-localiz y sus dependencias en la rama de extra addons. Esos módulos buscan no romper con la modularidad destacable de OpenERP, por eso es por lo que son tan numeroso aunque pequeños. Una de las razones para mantener esos módulos aparte es que los líderes de la localización brasileña necesitan agilidad en los aportes para complear la localización conforme las compañías subvencionan los requisitos legales remanentes (tales como libro mayor fiscal, SPED de contabilidad, SPED fiscal y PAF ECF que aún están pendientes a fecha septiembre de 2011). Estos módulos están licenciados estrictamente bajo AGPL V3 y hoy no vienen con ningún permiso adicional pagado para el uso en línea de 'módulos privados'.
"
base,model,"ir.module.module,description",base.module_l10n_be_hr_payroll,"
Belgian Payroll Rules.
======================

    * Employee Details
    * Employee Contracts
    * Passport based Contract
    * Allowances/Deductions
    * Allow to configure Basic/Gross/Net Salary
    * Employee Payslip
    * Monthly Payroll Register
    * Integrated with Holiday Management
    * Salary Maj, ONSS, Withholding Tax, Child Allowance, ...
    ","
Reglas salariales belgas.
======================

    * Detalles de empleado
    * Contratos de empleado
    * Contrato basado en el pasaporte
    * Complementos / Deducciones
    * Permite configurar el salario base/bruto/neto.
    * Nómina del empleado
    * Registro mensual de nóminas
    * Integrado con la gestión de vacaciones
    * Maj del salario, ONSS, retención de impuestos, complemento por niños, ...
    "
base,model,"ir.module.module,description",base.module_l10n_bo,"
Bolivian accounting chart and tax localization.

Plan contable boliviano e impuestos de acuerdo a disposiciones vigentes

    ","
Plan contable boliviano e impuestos de acuerdo a disposiciones vigentes.

    "
base,model,"ir.module.module,description",base.module_mail,"
Business oriented Social Networking
===================================
The Social Networking module provides a unified social network abstraction layer allowing applications to display a complete
communication history on documents with a fully-integrated email and message management system.

It enables the users to read and send messages as well as emails. It also provides a feeds page combined to a subscription mechanism that allows to follow documents and to be constantly updated about recent news.

Main Features
-------------
* Clean and renewed communication history for any Odoo document that can act as a discussion topic
* Subscription mechanism to be updated about new messages on interesting documents
* Unified feeds page to see recent messages and activity on followed documents
* User communication through the feeds page
* Threaded discussion design on documents
* Relies on the global outgoing mail server - an integrated email management system - allowing to send emails with a configurable scheduler-based processing engine
* Includes an extensible generic email composition assistant, that can turn into a mass-mailing assistant and is capable of interpreting simple *placeholder expressions* that will be replaced with dynamic data when each email is actually sent.
    ","
Business oriented Social Networking
===================================
The Social Networking module provides a unified social network abstraction layer allowing applications to display a complete
communication history on documents with a fully-integrated email and message management system.

It enables the users to read and send messages as well as emails. It also provides a feeds page combined to a subscription mechanism that allows to follow documents and to be constantly updated about recent news.

Main Features
-------------
* Clean and renewed communication history for any Odoo document that can act as a discussion topic
* Subscription mechanism to be updated about new messages on interesting documents
* Unified feeds page to see recent messages and activity on followed documents
* User communication through the feeds page
* Threaded discussion design on documents
* Relies on the global outgoing mail server - an integrated email management system - allowing to send emails with a configurable scheduler-based processing engine
* Includes an extensible generic email composition assistant, that can turn into a mass-mailing assistant and is capable of interpreting simple *placeholder expressions* that will be replaced with dynamic data when each email is actually sent.
    "
base,model,"ir.module.module,description",base.module_l10n_ve,"
Chart of Account for Venezuela.
===============================

Venezuela doesn't have any chart of account by law, but the default
proposed in OpenERP should comply with some Accepted best practices in Venezuela, 
this plan comply with this practices.

This module has been tested as base for more of 1000 companies, because 
it is based in a mixtures of most common software in the Venezuelan 
market what will allow for sure to accountants feel them first steps with 
OpenERP more confortable.

This module doesn't pretend be the total localization for Venezuela, 
but it will help you to start really quickly with OpenERP in this country.

This module give you.
---------------------

- Basic taxes for Venezuela.
- Have basic data to run tests with community localization.
- Start a company from 0 if your needs are basic from an accounting PoV.

We recomend use of account_anglo_saxon if you want valued your 
stocks as Venezuela does with out invoices.

If you install this module, and select Custom chart a basic chart will be proposed, 
but you will need set manually account defaults for taxes.
","
Chart of Account for Venezuela.
===============================

Venezuela doesn't have any chart of account by law, but the default
proposed in OpenERP should comply with some Accepted best practices in Venezuela, 
this plan comply with this practices.

This module has been tested as base for more of 1000 companies, because 
it is based in a mixtures of most common software in the Venezuelan 
market what will allow for sure to accountants feel them first steps with 
OpenERP more confortable.

This module doesn't pretend be the total localization for Venezuela, 
but it will help you to start really quickly with OpenERP in this country.

This module give you.
---------------------

- Basic taxes for Venezuela.
- Have basic data to run tests with community localization.
- Start a company from 0 if your needs are basic from an accounting PoV.

We recomend use of account_anglo_saxon if you want valued your 
stocks as Venezuela does with out invoices.

If you install this module, and select Custom chart a basic chart will be proposed, 
but you will need set manually account defaults for taxes.
"
base,model,"ir.module.module,description",base.module_l10n_th,"
Chart of Accounts for Thailand.
===============================

Thai accounting chart and localization.
    ","
Plan de cuentas para Tailandia
=======================

Plan de cuentas y localización tailandesa.
    "
